Model,Metric,NoPCA,WithPCA
Linear Regression,MSE,26.23384017225529,26.225062241184496
Linear Regression,R2,0.7478949690912795,0.7480707822978675
Random Forest,MSE,28.92055912298456,28.75727208065887
Random Forest,R2,0.7225411752515447,0.7240705813781908
