Algorithm,Silhouette,Davies-Buldin,ARI,NMI
K-Means,0.10989543392895217,2.383566871713262,0.41962042580459846,0.559326399920236
DBSCAN,0.11863877097114697,2.1154111725618243,0.08004247706647426,0.15378370618606943
Hierarchical,0.1170292796580654,2.482038830559547,0.459874890109388,0.6014981965896593
