k,WCSS,Silhouette
2,3272856.615119755,0.3937324764077081
3,2921077.5985826757,0.3154837527273416
4,2781602.1398099433,0.15000454919115871
5,2654789.78731044,0.12863053347959422
6,2577180.4288149076,0.10989543392895217
7,2519774.216923607,0.08159876210476713
8,2465378.9596691527,0.07486730343434733
